Ref,ProgAbbrName,SEX,CGPA,Semester1,Semester2,Semester3,Semester4,Semester5,Semester6,Semester7,Semester8,GRADUATED
STU5862,B.Sc. ABE,1,3,3,3,2,3,3,3,2,2,0
STU5863,BACHELOR OF ARTS IN HUMANITIES,1,2,2,2,2,2,1.5,2,2,3,0
STU5864,B.Sc. Agric. Econ. and AgBMgt.,1,3,3,3,3,3,3,5,4,3,1
STU5865,B.NSc. (N/P),0,3,3,2,2,2,2,3,3,3,0
STU5866,BACHELOR OF SCIENCE,1,2,3,1.5,1.5,3,2,3,1.5,1,0
STU5867,BACHELOR OF SCIENCE,1,3,2,2,3,4,3,4,3,4,1
STU5868,B.Sc. Ani. Sci.,0,2,2,2,1.5,2,1.5,3,2,3,0
STU5869,B.Sc. Cons. Sci. Ed.,0,2,1.5,1.5,3,2,2,4,2,2,0
STU5870,B.Sc. Cons. Sci. Ed.,0,3,3,3,3,3,3,5,3,4,1
STU5871,B.Sc. Agric. Econ. and AgBMgt.,0,3,3,3,2,2,2,4,2,3,1
STU5872,B.Sc. Cons. Sci. Ed.,0,3,2,2,3,2,3,3,3,3,1
STU5873,B.Sc. Cons. Sci. Ed.,0,3,3,3,3,3,3,4,3,3,1
STU5874,B.Sc. Cons. Sci. Ed.,0,4,2,3,4,4,4,5,4,4,1
STU5875,B.Sc. Cons. Sci. Ed.,0,4,3,3,4,3,4,5,4,3,1
STU5876,B.Sc. Cons. Sci. Ed.,0,3,2,3,4,3,3,4,3,4,1
STU5877,B.Sc. FSNT,0,2,1,2,1.5,1,2,1.5,4,1.5,0
STU5878,B.Sc. FSNT,0,3,2,2,3,2,2,4,3,2,1
STU5879,B.Sc. FSNT,1,2,2,2,2,1.5,2,4,2,3,0
STU5880,B.Sc. FSNT,0,3,2,2,2,3,3,2,3,3,1
STU5881,B.Sc. EMWR,0,3,1.5,2,2,3,3,3,2,3,1
STU5882,B.Sc. EMWR,0,3,2,2,3,3,3,3,2,0,1
STU5883,B.Sc. Cons. Sci. Ed.,0,3,3,2,3,3,3,3,3,3,1
STU5884,B.Sc. EMWR,0,3,1.5,2,3,3,2,3,2,3,0
STU5885,B.Sc. EMWR,0,2,1.5,1.5,2,2,2,3,2,2,0
STU5886,B.Sc. Ani. Sci. (Dairy Option),0,3,3,2,2,3,3,4,4,3,1
STU5887,B.Sc. EHS (N/P),0,2,2,2,3,3,3,3,2,3,1
STU5888,B.Sc. Ani. Sci. (Dairy Option),0,3,2,2,2,3,2,4,3,3,0
STU5890,B.Sc. EMOSH,1,2,2,3,2,2,2,2,2,3,0
STU5891,B.Sc. Agricultural Extension,0,4,3,3,4,3,4,4,4,4,1
STU5892,B.Sc. Agricultural Extension,0,3,3,3,3,3,3,4,3,3,1
STU5893,B.Sc. Agricultural Extension,0,3,3,2,2,2,2,5,3,3,1
STU5894,B.Sc. EMOSH,1,3,3,2,2,3,2,3,3,3,1
STU5895,BACHELOR OF SOCIAL WORK,1,3,2,2,2,3,3,3,3,4,1
STU5896,B.Sc. Cons. Sci.,0,2,2,2,1.5,2,1,4,1.5,2,0
STU5897,BACHELOR OF ARTS IN HUMANITIES,0,2,2,2,2,2,2,2,2,1.5,0
STU5898,B.Sc. Cons. Sci.,1,3,2,2,2,2,2,5,3,3,1
STU5899,B.Sc. Cons. Sci.,0,3,3,2,3,2,2,4,2,3,1
STU5900,B.Sc. Agric. Ed.,0,2,2,1.5,2,2,2,5,2,3,0
STU5901,B.Sc. Agric. Ed.,0,3,3,3,3,3,3,4,4,3,1
STU5902,B.Sc. Agron.,0,3,3,2,4,3,3,4,3,4,1
STU5903,B.Sc. ABE,1,3,4,3,3,2,2,4,2,3,1
STU5904,B.Sc. ABE,1,3,4,3,3,3,2,4,2,1.5,0
STU5905,B.Sc. Agric. Ed.,1,2,3,2,2,2,2,3,2,2,0
STU5906,B.Sc. Agric. Ed.,1,3,3,2,2,2,2,4,2,3,1
STU5907,B.NSc. (N/P),0,3,3,3,3,3,2,3,3,4,0
STU5908,B.NSc. (N/P),0,3,2,3,3,3,2,3,4,3,1
STU5909,B.NSc. (N/P),0,2,2,2,2,2,2,2,2,2,0
STU5910,B.Ed. Primary(Social Studies)IDE,0,3,1,2,3,2,3,3,3,3,1
STU5911,B.A. Humanities (IDE),0,2,3,2,2,2,2,2,2,1,0
STU5912,B.Ed. Secondary (Humanities),1,3,3,3,3,3,3,4,2,3,1
STU5913,B.Ed. Secondary (Humanities),0,3,3,3,3,3,4,3,4,3,1
STU5914,B.Ed. Secondary (Humanities),0,3,2,3,3,2,3,4,3,2,1
STU5915,B.A. JMC,0,2,1.5,2,1.5,2,2,2,2,1.5,0
STU5916,B.Ed. Secondary (Humanities),0,3,2,3,3,3,3,3,2,4,1
STU5917,B.Ed. Secondary (Humanities),0,3,2,3,3,3,3,4,3,2,1
STU5918,BACHELOR OF SOCIAL WORK,0,2,1.5,2,2,2,2,3,0,2,0
STU5919,BACHELOR OF ARTS IN HUMANITIES,0,2,1.5,2,2,1.5,3,2,2,2,0
STU5920,B.A. JMC,0,2,2,2,2,1.5,2,2,3,3,0
STU5921,B.Ed. Secondary (Humanities),0,3,2,3,3,3,3,4,4,3,1
STU5922,BED PRIMARY (LANGUAGE ARTS),0,3,1.5,2,2,2,2,3,2,3,1
STU5923,B.Ed. Primary (IDE),0,3,2,2,2,3,2,3,3,3,1
STU5924,B.Ed. Primary(Social Studies)IDE,0,3,2,2,3,3,3,4,2,4,1
STU5925,B.A. Humanities (IDE),0,2,1.5,2,2,1.5,2,3,2,2,0
STU5926,B.A. Humanities (IDE),0,2,2,0,2,2,1.5,2,2,1,0
STU5927,B.Ed. Secondary - IDE,0,3,3,3,4,3,4,3,3,4,1
STU5928,B.Ed. Secondary - IDE,1,3,3,3,2,3,3,3,3,3,1
STU5929,B.Sc. Ani. Sci.,1,3,3,2,2,3,3,4,3,4,1
STU5930,BED PRIMARY (LANGUAGE ARTS),1,3,2,2,2,3,3,3,2,3,0
STU5931,B.Ed. Secondary - IDE,0,3,3,3,3,3,3,3,2,3,1
STU5932,B.Sc. Ani. Sci.,1,3,3,2,3,4,3,4,3,3,1
STU5933,B.Sc. Ani. Sci.,1,3,0,0,2,3,2,4,2,3,1
STU5934,B.Sc. Ani. Sci.,0,3,3,2,2,3,3,5,3,4,1
STU5935,B.Sc. Ani. Sci.,1,2,2,2,2,2,1.5,3,2,3,0
STU5936,B.Sc. Ani. Sci.,1,3,3,3,3,4,2,3,3,3,1
STU5937,B.Sc. Agric. Econ. and AgBMgt.,1,4,3,4,4,3,3,4,4,3,1
STU5938,B.Sc. Ani. Sci.,1,2,2,2,2,2,2,3,2,3,0
STU5939,BACHELOR OF ARTS IN SOCIAL SCIENCES,0,2,3,2,2,2,2,3,3,3,0
STU5940,B.Sc. Ani. Sci.,1,3,3,2,2,3,3,5,3,3,1
STU5941,B.Sc. Ani. Sci.,0,3,3,3,2,3,3,5,3,3,1
STU5942,B.Ed. Secondary - IDE,0,2,2,3,2,2,3,2,3,1.5,0
STU5943,B.Sc. Cons. Sci.,0,3,2,2,2,3,2,4,2,2,0
STU5944,B.Ed. Primary(Social Studies)IDE,0,3,3,3,4,3,4,4,3,3,1
STU5945,B.Ed. Secondary - IDE,0,3,3,3,2,2,3,3,3,3,1
STU5946,B.NSc. (N/P),1,3,0,0,2,2,2,3,3,3,0
STU5947,B.Ed. Secondary (Business Education),0,2,2,1.5,2,1.5,2,3,2,3,0
STU5948,B.Ed. Secondary (Business Education),1,2,2,2,1.5,2,1.5,2,2,2,0
STU5949,BACHELOR OF SCIENCE,0,4,3,4,4,4,4,4,4,4,1
STU5950,B.A. JMC,0,3,3,3,3,2,3,3,4,2,1
STU5951,B.Ed. Secondary (Business Education),1,2,2,2,2,2,3,3,3,0,0
STU5952,B.Comm. (New Programme),0,3,2,2,2,3,4,3,3,2,1
STU5953,BED PRIMARY (LANGUAGE ARTS),0,3,2,3,2,3,2,3,2,3,1
STU5954,BACHELOR OF ARTS IN HUMANITIES,0,3,2,2,2,3,3,3,3,3,1
STU5955,BACHELOR OF ARTS IN HUMANITIES,0,3,2,3,2,2,3,2,3,3,1
STU5956,B.Ed. Secondary (Business Education),0,3,3,2,2,2,3,3,3,3,1
STU5957,B.Ed. Secondary (Business Education),0,2,1,2,1,1.5,1.5,3,2,1.5,0
STU5958,B.Ed. Secondary (Business Education),1,2,2,2,2,2,2,3,2,3,0
STU5959,B.Ed. Secondary (Business Education),0,2,3,3,3,3,3,3,3,0,0
STU5960,B.Ed. Secondary (Business Education),0,3,3,3,2,2,4,3,3,2,1
STU5961,BACHELOR OF ARTS IN HUMANITIES,1,2,2,2,2,3,3,2,1,0,0
STU5962,B.Sc. Ani. Sci.,1,3,3,2,2,2,1.5,4,2,2,0
STU5963,B.Sc. Hort.,0,2,2,1.5,2,1.5,1.5,4,2,3,0
STU5964,B.Sc. Agron.,0,2,2,1.5,1,2,1.5,4,1,2,0
STU5965,B.Sc. Agron.,0,3,2,2,2,3,2,4,2,3,1
STU5966,B.Sc. Hort.,1,3,3,2,2,3,3,5,3,3,1
STU5967,B.Sc. Hort.,1,2,3,2,1.5,2,2,2,3,2,0
STU5968,B.Sc. ABE,1,3,4,2,3,3,4,5,3,3,1
STU5969,B.Sc. Agric. Econ. and AgBMgt.,0,4,3,3,4,3,4,4,4,4,1
STU5970,B.Sc. Agric. Econ. and AgBMgt.,0,4,3,3,3,4,3,4,4,4,1
STU5971,B.Sc. Hort.,1,3,2,3,1.5,3,3,5,2,4,1
STU5972,B.Sc. Agric. Econ. and AgBMgt.,1,2,2,3,3,1.5,3,4,0,2,0
STU5973,B.Sc. FSNT,1,3,3,2,1.5,2,1.5,4,2,3,0
STU5974,B.Sc. Agric. Econ. and AgBMgt.,1,3,3,3,4,3,3,4,4,4,1
STU5975,B.Sc. Agric. Econ. and AgBMgt.,1,3,2,3,3,2,3,4,3,3,1
STU5976,B.Sc. Hort.,1,2,2,2,1,2,1.5,4,2,2,0
STU5977,B.Sc. Agric. Econ. and AgBMgt.,1,4,4,3,4,3,3,5,4,3,1
STU5978,B.Sc. Agron.,1,3,3,2,3,2,2,5,2,3,1
STU5979,B.Sc. Cons. Sci.,1,2,2,2,3,2,2,4,2,2,0
STU5980,B.NSc. (N/P),0,2,3,2,1.5,2,1.5,3,3,3,0
STU5981,B.Sc. Agric. Econ. and AgBMgt.,1,3,3,3,3,3,3,4,4,3,1
STU5982,B.Sc. Agric. Econ. and AgBMgt.,0,3,2,2,3,3,3,5,3,3,1
STU5983,B.Sc. Agric. Econ. and AgBMgt.,0,3,3,2,2,2,2,4,3,3,1
STU5984,B.Sc. FSNT,0,4,4,4,4,4,4,5,4,5,1
STU5985,B.Sc. Agric. Econ. and AgBMgt.,0,3,3,2,3,3,3,3,4,4,1
STU5986,B.Sc. Agric. Econ. and AgBMgt.,1,2,2,2,2,1.5,2,4,2,1,0
STU5987,B.Sc. Agron.,0,3,2,2,2,3,3,4,2,3,1
STU5988,B.Sc. Agric. Econ. and AgBMgt.,1,3,3,3,3,3,3,4,3,4,1
STU5989,B.Sc. Agric. Econ. and AgBMgt.,1,3,3,3,3,3,3,4,3,3,1
STU5990,B.Sc. FSNT,1,3,2,2,3,3,2,4,4,3,1
STU5991,B.Sc. Agric. Econ. and AgBMgt.,1,3,3,2,2,3,2,4,2,3,1
STU5992,B.Sc. Agric. Econ. and AgBMgt.,1,3,4,4,3,2,3,4,3,3,1
STU5993,B.Sc. Agric. Econ. and AgBMgt.,1,3,3,2,3,2,2,4,3,3,1
STU5994,B.Sc. Agric. Econ. and AgBMgt.,0,3,3,3,3,3,3,4,3,3,1
STU5995,B.Sc. Agricultural Extension,0,3,3,3,2,2,3,4,3,3,1
STU5996,B.Sc. Hort.,1,3,3,2,2,3,3,4,4,4,1
STU5997,B.Sc. Ani. Sci. (Dairy Option),0,3,3,3,2,3,2,4,3,3,1
STU5998,B.Sc. Comp. Sc. Ed.,1,3,2,2,2,4,3,3,3,3,1
STU5999,B.Sc. FSNT,0,3,2,2,2,3,3,4,3,3,1
STU6000,B.Sc. Agron.,1,3,4,3,2,3,3,5,3,4,1
STU6001,B.Sc. FSNT,0,3,3,2,3,3,4,4,4,3,1
STU6002,B.Sc. Agron.,1,3,3,2,2,2,2,4,3,3,1
STU6003,B.Sc. Cons. Sci.,0,2,2,1.5,3,2,2,3,2,2,0
STU6004,B.Sc. FSNT,0,3,2,2,3,3,3,4,4,3,1
STU6005,B.Sc. FSNT,0,3,2,2,3,2,3,3,4,3,1
STU6006,B.Sc. FSNT,1,3,2,2,3,3,3,4,4,3,1
STU6007,B.Sc. FSNT,0,3,3,2,2,2,2,5,3,3,1
STU6008,B.Sc. Agricultural Extension,0,2,2,2,2,2,2,4,3,3,1
STU6009,B.Sc. Agron.,1,3,4,3,3,3,3,5,3,3,1
STU6010,B.Ed. Primary(Social Studies)IDE,1,3,2,2,4,3,3,3,3,3,1
STU6011,B.Ed. Primary(Social Studies)IDE,1,3,3,3,4,3,4,4,3,3,1
STU6012,B.Sc. Agron.,1,4,4,3,0,0,3,4,2,4,0
STU6013,B.Sc. EHFS,1,3,2,2,2,2,3,4,2,3,1
STU6014,B.Sc. Cons. Sci. Ed.,1,3,3,3,4,3,4,5,3,3,1
STU6015,B.Sc. EHFS,0,2,1,2,2,3,2,2,2,3,0
STU6016,B.Sc. EHFS,1,2,1.5,2,1.5,3,3,3,2,2,0
STU6017,B.Ed. Secondary (Commerce - IDE),1,3,3,4,2,3,3,3,3,3,1
STU6018,B.Ed. Secondary (Commerce - IDE),0,2,2,2,1.5,1.5,2,2,2,3,0
STU6019,B.Ed. Secondary (Commerce - IDE),0,2,2,2,1,2,2,3,2,3,0
STU6020,B.Ed. Secondary (Commerce - IDE),0,3,2,3,2,3,3,3,3,3,1
STU6021,B.Ed. Secondary (Commerce - IDE),1,2,2,3,2,2,2,2,2,3,0
STU6022,B.Ed. Secondary (Commerce - IDE),0,3,2,3,2,2,2,3,3,3,1
STU6023,B.Ed. Secondary (Commerce - IDE),0,3,3,4,2,2,3,4,3,3,1
STU6024,B.Ed. Secondary (Commerce - IDE),0,3,3,2,2,2,3,3,3,4,1
STU6025,B.Ed. Secondary (Science),0,3,2,3,3,2,3,3,2,3,1
STU6026,BACHELOR OF SOCIAL WORK,0,3,2,3,2,2,3,3,3,3,1
STU6027,BED PRIMARY (LANGUAGE ARTS),1,2,2,0,3,2,3,1,2,1,0
STU6028,BACHELOR OF SOCIAL WORK,0,3,2,3,2,2,2,3,2,4,1
STU6029,B.NSc. (N/P),1,3,3,3,3,3,2,3,3,3,1
STU6030,B.Sc. EMWR,1,2,2,2,2,2,2,3,2,2,0
STU6031,BACHELOR OF SOCIAL WORK,0,3,3,3,2,2,2,3,3,3,1
STU6032,B.Sc. Agric. Ed.,1,2,2,2,2,1.5,2,4,2,2,0
STU6033,B.Ed. Secondary (Science),0,3,2,2,2,2,2,3,3,3,1
STU6034,B.Ed. Secondary (Science),1,3,2,3,3,3,3,3,3,3,1
STU6035,BACHELOR OF SOCIAL WORK,0,3,3,4,3,3,3,3,3,3,1
STU6036,B.Ed. Secondary (Science),1,2,2,2,1.5,2,2,3,3,2,0
STU6037,BACHELOR OF SOCIAL WORK,0,3,2,3,2,3,3,3,3,3,1
STU6038,BACHELOR OF ARTS IN HUMANITIES,0,2,1.5,2,2,2,2,2,2,2,0
STU6039,BACHELOR OF ARTS IN HUMANITIES,0,2,2,2,2,1.5,2,2,2,2,0
STU6040,BACHELOR OF ARTS IN HUMANITIES,0,2,2,2,1.5,2,1.5,2,2,2,0
STU6041,B.Sc. Agron.,1,3,4,3,3,3,3,4,2,3,0
STU6042,B.Sc. Cons. Sci. Ed.,1,1,2,0,2,0,2,0,0,0,0
STU6043,B.Sc. Hort.,0,3,3,4,3,3,3,4,3,4,1
STU6044,B.Ed. Primary(Social Studies)IDE,0,3,2,3,3,3,4,4,3,3,1
STU6045,BACHELOR OF SOCIAL WORK,0,3,3,3,2,3,3,3,3,3,1
STU6046,BACHELOR OF ARTS IN HUMANITIES,0,2,2,2,2,2,3,2,3,2,0
STU6047,B.NSc. (N/P),0,3,3,2,3,3,2,3,3,3,1
STU6048,B.Sc. Cons. Sci. Ed.,0,3,2,2,3,2,2,5,3,3,1
STU6049,B.Ed. Secondary (Science),0,3,2,4,4,3,3,4,3,3,1
STU6050,B.Sc. EHS (N/P),1,2,2,2,2,2,2,3,2,2,0
STU6051,B.Sc. EMWR,1,3,2,3,3,3,3,3,3,4,1
STU6052,BACHELOR OF SOCIAL WORK,0,3,3,4,3,3,3,3,3,3,1
STU6053,B.Sc. FSNT,0,2,2,2,2,2,2,4,2,2,0
STU6054,B.Ed. Secondary (Science),0,3,2,3,2,3,3,3,3,3,0
STU6055,BACHELOR OF SOCIAL WORK,0,3,2,3,2,3,3,3,3,3,1
STU6056,B.Sc. Hort.,0,3,3,3,3,3,3,4,3,4,1
STU6057,B.NSc. (N/P),0,3,3,3,4,4,3,4,3,3,1
STU6058,B.Sc. FSNT,0,4,3,3,3,4,4,4,4,3,1
STU6059,B.Sc. EHS (N/P),0,2,1.5,2,2,2,2,3,2,2,0
STU6060,B.Sc. EHFS,0,2,1,1.5,2,2,2,3,2,3,0
STU6061,B.Sc. EHS (N/P),0,3,2,3,3,3,3,3,3,2,1
STU6062,B.Sc. Hort.,0,3,3,2,2,3,2,4,3,3,1
STU6063,BACHELOR OF SCIENCE,1,3,1.5,2,2,2,3,4,3,3,1
STU6064,B.Comm. (New Programme),0,3,3,2,2,3,4,3,3,3,1
STU6065,BACHELOR OF SCIENCE,0,3,3,4,4,3,2,4,3,3,1
STU6066,BACHELOR OF SCIENCE,1,0,1.5,2,1.5,2,2,3,2,0,0
STU6067,B.Ed. Secondary (Science),0,2,2,1.5,1.5,3,1.5,2,2,2,0
STU6068,B.Sc. EHS (N/P),0,3,2,3,3,3,3,3,3,3,1
STU6069,BACHELOR OF SCIENCE,0,3,2,3,3,3,3,3,3,3,1
STU6070,B.Sc. Agric. Ed.,1,0,3,2,1.5,1.5,1.5,1.5,1,0,0
STU6071,B.NSc. (N/P),0,3,4,4,4,3,3,4,3,4,1
STU6072,BACHELOR OF SCIENCE,0,3,2,3,3,4,3,4,3,4,1
STU6073,BACHELOR OF SCIENCE,0,3,2,3,3,3,3,4,3,4,1
STU6074,B.Sc. EHS (N/P),0,3,3,3,3,3,3,3,3,3,1
STU6075,BED PRIMARY (LANGUAGE ARTS),0,3,2,3,2,3,3,4,3,3,1
STU6076,B.NSc. (N/P),1,4,3,4,4,4,3,4,4,3,1
STU6077,B.Sc. Cons. Sci. Ed.,0,3,3,3,3,3,4,5,3,3,1
STU6078,B.Sc. EHS (N/P),1,2,2,2,2,2,2,3,1.5,2,0
STU6079,B.Sc. Cons. Sci. Ed.,1,3,3,3,2,3,3,4,3,3,1
STU6080,BACHELOR OF SCIENCE,1,2,2,2,3,3,3,3,1.5,1.5,0
STU6081,B.NSc. (N/P),1,3,2,2,3,3,2,3,2,3,1
STU6082,BACHELOR OF SCIENCE,0,3,1.5,2,2,2,3,4,3,3,1
STU6083,BACHELOR OF SCIENCE,0,3,2,3,3,3,3,4,3,4,1
STU6084,BACHELOR OF SCIENCE,1,4,3,4,4,4,3,4,4,4,1
STU6085,B.Sc. Ani. Sci.,0,3,2,2,2,3,3,5,3,3,1
STU6086,B.Sc. EHS (N/P),0,3,2,3,2,3,2,3,2,3,0
STU6087,B.Sc. EHS (N/P),1,3,3,3,3,3,2,4,3,3,1
STU6088,BACHELOR OF ARTS IN SOCIAL SCIENCES,1,0,2,2,1,1.5,2,3,2,0,0
STU6089,B.Sc. Agric. Econ. and AgBMgt.,1,3,3,3,3,3,2,5,3,3,1
STU6090,BACHELOR OF ARTS IN HUMANITIES,0,3,3,2,2,3,3,3,3,3,1
STU6091,BACHELOR OF ARTS IN HUMANITIES,0,2,1.5,2,1.5,2,2,2,2,2,0
STU6092,BACHELOR OF ARTS IN SOCIAL SCIENCES,0,3,3,3,1.5,3,3,3,3,3,1
STU6093,BACHELOR OF SOCIAL WORK,0,2,2,2,2,3,2,3,3,3,1
STU6094,BACHELOR OF ARTS IN SOCIAL SCIENCES,0,3,2,2,2,3,3,2,2,2,0
STU6095,BACHELOR OF ARTS IN SOCIAL SCIENCES,1,3,2,2,2,4,3,3,2,2,0
STU6096,BACHELOR OF ARTS IN SOCIAL SCIENCES,0,3,2,3,2,2,2,3,3,3,1
STU6097,BACHELOR OF ARTS IN SOCIAL SCIENCES,0,2,1.5,2,1,1.5,2,3,2,3,0
STU6098,BACHELOR OF ARTS IN SOCIAL SCIENCES,0,3,3,3,4,3,4,3,3,3,1
STU6099,BACHELOR OF ARTS IN SOCIAL SCIENCES,0,2,2,2,2,3,3,3,2,2,0
STU6100,BACHELOR OF ARTS IN SOCIAL SCIENCES,0,3,2,2,2,2,2,4,3,3,1
STU6101,BACHELOR OF ARTS IN SOCIAL SCIENCES,1,2,1.5,2,2,1.5,2,3,0,2,0
STU6102,B.Comm. (New Programme),0,3,3,3,3,2,3,3,3,3,1
STU6103,B.Comm. (New Programme),1,2,3,2,2,1.5,2,3,3,2,0
STU6104,B.Ed. Secondary (Humanities),1,2,2,3,2,1.5,2,1.5,0,0,0
STU6105,BACHELOR OF SOCIAL WORK,0,3,2,3,3,3,3,3,3,3,1
STU6106,B.Comm. (New Programme),1,2,3,2,2,2,3,2,3,2,0
STU6107,B.Comm. (New Programme),0,2,2,2,1,1,2,3,3,2,0
STU6108,B.Comm. (New Programme),1,2,2,2,1.5,1.5,1.5,2,2,1.5,0
STU6109,BACHELOR OF SOCIAL WORK,1,3,3,3,2,3,3,3,2,3,1
STU6110,B.Comm. (New Programme),0,3,3,3,2,3,3,3,1.5,1.5,0
STU6111,B.Comm. (New Programme),0,2,1.5,2,1.5,2,1.5,3,3,3,0
STU6112,B.Ed. Secondary (Business Education),0,3,2,1.5,1,3,3,3,3,3,1
STU6113,BACHELOR OF ARTS IN SOCIAL SCIENCES,1,4,3,4,4,5,3,3,5,2,0
STU6114,BACHELOR OF ARTS IN HUMANITIES,0,0,3,2,2,2,2,1.5,0,0,0
STU6115,BACHELOR OF ARTS IN HUMANITIES,0,3,2,2,2,3,3,3,3,3,1
STU6116,B.Comm. (New Programme),1,3,3,3,3,3,4,3,3,3,1
STU6117,BACHELOR OF ARTS IN HUMANITIES,0,3,3,3,3,2,3,2,2,3,1
STU6118,BACHELOR OF SOCIAL WORK,0,3,1.5,3,2,3,3,3,3,4,1
STU6119,B.Comm. (New Programme),0,3,3,2,3,3,4,4,4,3,1
STU6120,B.Comm. (New Programme),1,3,3,3,3,3,4,3,3,3,1
STU6121,B.Sc. FSNT,1,3,3,2,3,3,3,4,4,4,1
STU6122,B.A. JMC,0,2,2,2,2,1,2,3,2,2,0
STU6123,BACHELOR OF ARTS IN HUMANITIES,0,2,2,2,2,2,2,1.5,1.5,1.5,0
STU6124,B.Comm. (New Programme),0,2,2,3,1.5,2,2,2,2,2,0
STU6125,B.Comm. (New Programme),0,2,2,2,1.5,2,2,3,2,2,0
STU6126,B.A. JMC,0,3,2,3,2,2,2,3,3,3,1
STU6127,B.A. JMC,0,2,2,2,2,1.5,2,3,3,2,0
STU6128,B.Comm. (New Programme),0,2,1.5,2,0,2,2,3,2,2,0
STU6129,BACHELOR OF ARTS IN HUMANITIES,0,2,2,1.5,1.5,1.5,3,3,2,2,0
STU6130,B.Ed. Secondary (Business Education),0,3,3,3,2,3,4,4,3,3,1
STU6131,BACHELOR OF ARTS IN SOCIAL SCIENCES,0,2,2,3,2,1.5,2,3,3,3,0
STU6132,BACHELOR OF ARTS IN HUMANITIES,1,2,2,2,2,2,2,2,2,3,0
STU6133,BACHELOR OF ARTS IN HUMANITIES,0,3,2,2,2,3,3,3,3,3,1
STU6134,B.A. JMC,1,3,3,3,3,2,3,3,4,2,1
STU6135,BACHELOR OF ARTS IN HUMANITIES,0,3,2,3,2,2,2,3,3,3,1
STU6136,B.Ed. Secondary (Business Education),0,2,2,2,1,2,2,2,2,3,0
STU6137,B.Comm. (New Programme),0,3,3,3,2,2,2,3,3,2,1
STU6138,BACHELOR OF ARTS IN HUMANITIES,1,3,2,2,3,3,3,3,3,3,1
STU6139,B.Comm. (New Programme),0,3,3,2,2,3,3,3,3,3,1
STU6140,BACHELOR OF ARTS IN HUMANITIES,1,0,2,2,2,2,1.5,1.5,1.5,0,0
STU6141,B.A. JMC,1,2,2,2,2,1.5,2,3,3,2,0
STU6142,B.Comm. (New Programme),1,2,2,2,2,3,3,2,2,2,0
STU6143,BACHELOR OF ARTS IN HUMANITIES,1,1.5,1.5,1.5,0,1,0,2,1,1,0
STU6144,B.Comm. (New Programme),0,4,3,4,3,4,4,4,4,3,1
STU6145,B.NSc. (N/P),1,3,3,2,3,2,2,3,3,4,1
STU6146,BACHELOR OF ARTS IN HUMANITIES,1,2,2,2,2,2,3,2,1.5,1.5,0
STU6147,B.Comm. (New Programme),1,3,3,2,2,2,2,3,3,2,1
STU6148,BACHELOR OF ARTS IN HUMANITIES,0,3,3,3,3,3,3,3,3,3,1
STU6149,BACHELOR OF ARTS IN HUMANITIES,0,3,3,3,3,3,3,3,3,3,1
STU6150,BACHELOR OF ARTS IN HUMANITIES,1,3,2,2,2,3,3,3,2,2,1
STU6151,BACHELOR OF ARTS IN HUMANITIES,0,3,3,3,3,3,3,3,4,4,1
STU6152,BACHELOR OF ARTS IN HUMANITIES,0,2,2,2,2,2,1.5,2,2,2,0
STU6153,B.Comm. (New Programme),0,3,4,3,2,3,3,3,4,3,1
STU6154,B.Comm. (New Programme),1,2,2,1.5,2,2,2,3,2,2,0
STU6155,B.Comm. (New Programme),1,3,3,3,2,2,3,3,2,3,1
STU6156,BACHELOR OF ARTS IN HUMANITIES,0,3,3,2,3,3,3,3,2,3,1
STU6157,BACHELOR OF ARTS IN HUMANITIES,1,3,2,2,2,2,3,3,3,3,1
STU6158,B.Ed. Secondary (Business Education),1,3,2,2,2,2,2,3,3,3,1
STU6159,BACHELOR OF ARTS IN HUMANITIES,1,0,2,3,3,3,3,0,0,0,0
STU6160,B.Comm. (New Programme),1,3,3,2,2,2,2,3,3,3,1
STU6161,B.Comm. (New Programme),1,3,3,3,2,2,3,4,4,3,1
STU6162,B.Sc. Cons. Sci. Ed.,0,3,2,2,3,3,2,5,3,3,1
STU6163,B.Sc. Agric. Econ. and AgBMgt.,1,4,3,3,4,4,4,4,4,4,1
STU6164,B.Sc. EMOSH,1,2,2,2,3,2,1.5,2,2,2,0
STU6165,BACHELOR OF SCIENCE,1,3,3,2,3,2,2,3,3,2,0
STU6166,B.Sc. Agric. Econ. and AgBMgt.,0,3,3,4,3,3,3,4,3,4,1
STU6167,BACHELOR OF SCIENCE,1,3,3,3,2,3,3,4,3,4,1
STU6168,B.Ed. Secondary (Humanities),1,3,2,3,3,2,2,3,3,3,0
STU6169,BACHELOR OF SCIENCE,1,4,3,4,4,4,4,4,4,4,1
STU6170,B.Sc. Agric. Econ. and AgBMgt.,1,3,3,3,2,3,3,3,3,4,1
STU6171,B.Sc. Agric. Econ. and AgBMgt.,1,3,3,3,3,2,2,4,2,3,1
STU6172,BACHELOR OF SCIENCE,0,4,3,3,3,4,4,4,4,4,1
STU6173,BACHELOR OF SCIENCE,1,3,2,4,3,3,3,4,3,3,1
STU6174,B.Sc. FSNT,0,2,3,2,1,2,2,4,1.5,2,0
STU6175,BACHELOR OF SCIENCE,0,4,3,4,4,4,3,4,3,4,1
STU6176,B.Ed. Secondary (Humanities),1,1,2,2,1,0,2,0,0,0,0
STU6177,B.Sc. EMOSH,1,3,3,3,3,3,3,3,3,3,1
