Ref,ProgAbbrName,SEX,CGPA,Semester1,Semester2,Semester3,Semester4,Semester5,Semester6,Semester7,Semester8,GRADUATED
STU5074,B.Comm. (New Programme),1,2,2,2,1.5,3,3,2,2,2,0
STU5075,B.Ed. Secondary (Humanities),0,3,2,3,2,3,2,3,3,3,1
STU5076,BACHELOR OF SOCIAL WORK,0,3,2,2,2,3,3,3,3,3,1
STU5077,B.Ed. Secondary (Science),1,3,2,3,2,4,4,3,3,3,1
STU5078,B.NSc. (N/P),0,3,2,2,3,3,4,3,3,3,1
STU5079,BACHELOR OF SOCIAL WORK,1,3,2,3,2,3,2,2,2,3,0
STU5080,BACHELOR OF SOCIAL WORK,0,3,3,4,3,3,3,4,4,4,1
STU5081,BACHELOR OF ARTS IN HUMANITIES,1,2,2,1.5,2,3,2,0,2,2,0
STU5082,BACHELOR OF SOCIAL WORK,0,2,1.5,3,2,3,2,2,2,3,0
STU5083,B.Comm. (New Programme),1,3,3,4,3,3,3,3,4,3,1
STU5084,BACHELOR OF ARTS IN SOCIAL SCIENCES,1,3,2,3,2,3,4,3,2,2,1
STU5085,B.Sc. Agron.,1,3,3,3,3,4,4,4,2,4,1
STU5086,B.Sc. Agricultural Extension,1,3,2,2,1.5,2,3,4,2,3,0
STU5087,B.Sc. Cons. Sci.,0,3,2,2,2,3,3,5,2,3,0
STU5088,B.Sc. EMOSH,1,2,3,2,2,2,2,2,2,3,0
STU5089,B.Ed. Secondary - IDE,1,3,3,3,2,3,3,3,3,4,1
STU5090,B.Sc. Cons. Sci. Ed.,0,3,2,3,2,3,3,4,2,3,1
STU5091,BACHELOR OF SOCIAL WORK,0,3,2,3,2,3,2,3,3,3,1
STU5092,BACHELOR OF SOCIAL WORK,0,3,3,3,2,3,2,3,3,3,1
STU5093,B.Ed. Secondary (Business Education),0,3,2,2,3,3,3,3,3,4,1
STU5094,BACHELOR OF SOCIAL WORK,0,3,2,3,2,3,3,3,3,4,1
STU5095,B.Sc. Ani. Sci.,0,3,2,2,2,3,3,4,2,3,0
STU5096,B.Comm. (New Programme),1,3,2,3,2,3,4,3,2,2,1
STU5097,B.Ed. Secondary (Business Education),1,2,2,1.5,2,2,3,2,2,2,0
STU5098,B.Sc. Ani. Sci. (Dairy Option),0,2,2,2,1.5,3,2,3,2,3,0
STU5099,B.Sc. EMOSH,1,3,0,0,0,0,3,3,1.5,2,1
STU5100,B.Sc. IT,1,2,1.5,2,1,2,2,2,1,2,0
STU5101,B.Sc. Comp. Sc. Ed.,0,3,2,2,1.5,5,3,3,3,4,0
STU5102,B.Sc. Comp. Sc. Ed.,1,1.5,1,2,2,1.5,1.5,2,1.5,0,0
STU5103,B.Sc. Comp. Sc. Ed.,1,4,3,4,3,5,4,3,3,4,1
STU5104,B.Sc. Comp. Sc. Ed.,0,2,1.5,2,2,4,2,1.5,2,3,0
STU5105,B.Sc. Comp. Sc. Ed.,0,3,3,2,1.5,4,2,2,2,4,1
STU5106,B.Sc. IT,0,3,2,2,2,4,2,3,3,3,1
STU5107,B.Sc. Comp. Sc. Ed.,0,2,1,1,2,3,2,1,1.5,1.5,0
STU5108,B.Sc. Comp. Sc. Ed.,0,3,2,3,2,3,3,2,3,4,1
STU5109,B.Sc. IT,0,2,1.5,1.5,2,3,2,2,2,2,0
STU5110,B.Sc. IT,1,3,2,1,2,4,2,3,2,3,0
STU5111,B.Sc. IT,1,2,1.5,1,2,4,2,3,1,2,0
STU5112,B.Sc. Comp. Sc. Ed.,1,3,1,3,1.5,4,2,2,2,3,0
STU5113,B.Sc. Comp. Sc. Ed.,0,2,1.5,1.5,2,4,2,2,2,1,0
STU5114,B.Sc. IT,1,2,1.5,0,2,3,2,3,0,1.5,0
STU5115,B.Sc. Comp. Sc. Ed.,0,2,1.5,2,1.5,4,2,2,1,1,0
STU5116,B.Sc. IT,1,3,1.5,1.5,3,4,2,3,2,2,0
STU5117,B.Sc. Comp. Sc. Ed.,0,2,1.5,2,1.5,4,2,2,3,2,0
STU5118,B.Sc. IT,0,3,3,2,2,3,2,3,2,3,1
STU5119,B.Sc. IT,1,2,2,0,1.5,3,2,2,1.5,1,0
STU5120,B.Sc. IT,1,3,2,1.5,1.5,3,3,3,2,3,0
